sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,total_enroll,Grade,SingleScore,Third_Grade_Reading,Fifth_Grade_Reading,Eighth_Grade_Reading,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,CollegeEnrollment
660180,660,Fulton County,Dolvin Elementary School,180,E,849,A,97.90000000000000,,,,,,,
646104,646,Dooly County,Dooly County Elementary School,104,E,591,F,58.90000000000000,,,,,,,
646182,646,Dooly County,Dooly County High School,182,H,372,F,59.40000000000000,,,,40.5,26.1,75.40000000000000,
646204,646,Dooly County,Dooly County Middle School,204,M,273,F,54.5,,,,,,,
7215054,721,Richmond County,Dorothy Hains Elementary School,5054,E,587,F,54.3,,,,,,,
706215,706,Muscogee County,Dorothy Height Elementary School,215,E,762,F,45.3,,,,,,,
648184,648,Douglas County,Dorsett Shoals Elementary School,184,E,441,C,71.60000000000000,,,,,,,
7062058,706,Muscogee County,Double Churches Elementary School,2058,E,409,D,66.5,,,,,,,
706401,706,Muscogee County,Double Churches Middle School,401,M,456,D,64.8,,,,,,,
6472052,647,Dougherty County,Dougherty Comprehensive High School,2052,H,940,D,60.90000000000000,,,,42.40000000000000,20.9,77.30000000000000,
6484050,648,Douglas County,Douglas County High School,4050,H,1971,B,82.40000000000000,,,,64.8,60.7,85.40000000000000,
633190,633,Cobb County,Dowell Elementary School,190,E,957,C,75.90000000000000,,,,,,,
706296,706,Muscogee County,Downtown Elementary Magnet Academy,296,E,330,C,70.2,,,,,,,
6441055,644,DeKalb County,Dresden Elementary School,1055,E,958,F,57.1,,,,,,,
6442055,644,DeKalb County,Druid Hills High School,2055,H,1320,C,77,,,,65.10000000000000,58.7,79.2,
644897,644,DeKalb County,Druid Hills Middle School,897,M,936,C,74.60000000000000,,,,,,,
7820617617,7820617,State Charter School,Du Bois Integrity Academy,617,E,669,D,67.5,,,,,,,
774211,774,Dublin City,Dublin High School,211,H,592,C,76.40000000000000,,,,45,26.9,90.80000000000000,
774102,774,Dublin City,Dublin Middle School,102,EM,671,F,55.7,,,,,,,
6335056,633,Cobb County,Due West Elementary School,5056,E,624,A,93.90000000000000,,,,,,,
7554050,755,Whitfield County,Dug Gap Elementary School,4050,E,425,C,76.10000000000000,,,,,,,
6675550,667,Gwinnett County,Duluth High School,5550,H,2731,B,81.40000000000000,,,,63.6,62.40000000000000,78.80000000000000,
667905,667,Gwinnett County,Duluth Middle School ,905,M,1377,B,80.5,,,,,,,
6443055,644,DeKalb County,Dunaire Elementary School,3055,E,618,F,53.5,,,,,,,
7615558,761,Atlanta Public Schools,Dunbar Elementary School,5558,E,392,D,68.90000000000000,,,,,,,
6671205,667,Gwinnett County,Duncan Creek Elementary School,1205,E,1195,B,88.7,,,,,,,
781194,781,Marietta City,Dunleith Elementary School,194,E,691,D,65.7,,,,,,,
644214,644,DeKalb County,Dunwoody Elementary School,214,E,979,B,89,,,,,,,
6445055,644,DeKalb County,Dunwoody High School,5055,H,1840,B,89.40000000000000,,,,71.3,76.5,85.7,
660207,660,Fulton County,Dunwoody Springs Elementary School,207,E,550,B,85.10000000000000,,,,,,,
633299,633,Cobb County,Durham Middle School,299,M,1064,A,94.10000000000000,,,,,,,
675107,675,Henry County,Dutchtown Elementary School,107,E,712,C,72.90000000000000,,,,,,,
675105,675,Henry County,Dutchtown High School,105,H,1582,C,70.8,,,,61.90000000000000,45.6,90.80000000000000,
675206,675,Henry County,Dutchtown Middle School,206,M,1149,C,76.5,,,,,,,
6671052,667,Gwinnett County,Dyer Elementary School,1052,E,854,A,90.5,,,,,,,
628181,628,Cherokee County,E. T. Booth Middle School,181,M,1762,C,78,,,,,,,
706108,706,Muscogee County,Eagle Ridge Academy,108,E,639,B,82.5,,,,,,,
676100,676,Houston County,Eagle Springs Elementary School,100,E,780,C,79,,,,,,,
675391,675,Henry County,Eagle's Landing High School,391,H,1449,C,74.10000000000000,,,,53,47.40000000000000,87.5,
675394,675,Henry County,Eagle's Landing Middle School,394,M,990,D,67.40000000000000,,,,,,,
706112,706,Muscogee County,Early College Academy of Columbus at Waverly Terrace,112,H,170,A,93.90000000000000,,,,46.7,94.30000000000000,100,
649194,649,Early County,Early County Elementary School,194,E,896,D,68.60000000000000,,,,,,,
6492050,649,Early County,Early County High School,2050,H,676,D,69.3,,,,62,46,90.40000000000000,
649197,649,Early County,Early County Middle School,197,M,469,D,65.5,,,,,,,
625191,625,Chatham County,East Broad Street School,191,EM,594,F,54.5,,,,,,,
785275,785,Rome City,East Central Elementary School,275,EM,545,B,82,,,,,,,
6311052,631,Clayton County,East Clayton Elementary School,1052,E,562,C,72.2,,,,,,,
6331056,633,Cobb County,East Cobb Middle School,1056,M,1170,C,79.2,,,,,,,
706301,706,Muscogee County,East Columbus Magnet Academy,301,M,549,F,53.1,,,,,,,
638389,638,Coweta County,East Coweta High School,389,H,2976,C,71.3,,,,71.8,52.7,84.40000000000000,
638289,638,Coweta County,East Coweta Middle School,289,M,740,B,81.90000000000000,,,,,,,
655194,655,Fannin County,East Fannin Elementary School,194,E,398,C,71.60000000000000,,,,,,,
6691552,669,Hall County,East Hall High School,1552,H,1195,C,79.7,,,,51.6,43.5,91.30000000000000,
669289,669,Hall County,East Hall Middle School,289,M,1007,C,79.7,,,,,,,
678107,678,Jackson County,East Jackson Comprehensive High School,107,H,926,A,92,,,,54.5,47.2,95.60000000000000,
678104,678,Jackson County,East Jackson Elementary School,104,E,469,B,83.5,,,,,,,
678197,678,Jackson County,East Jackson Middle School,197,M,809,D,64.2,,,,,,,
675203,675,Henry County,East Lake Elementary School,203,E,660,B,82.7,,,,,,,
687105,687,Laurens County,East Laurens Elementary School,105,E,518,C,79.60000000000000,,,,,,,
